,DPD0R1,DPD0R2,DPD0R3,DPD1R1,DPD1R2,DPD1R3,DPD3R1,DPD3R2,DPD3R3,DPD7R1,DPD7R2,DPD7R3,DAD0R1,DAD0R2,DAD0R3,DAD1R1,DAD1R2,DAD1R3,DAD3R1,DAD3R2,DAD3R3,DAD7R1,DAD7R2,DAD7R3
5.043/1006.89338235294,12968378,12109546,12889863,13547220,12610160,12363350,14331338,12206227,11897473,14429507,12314362,12007748,0,0,0,0,0,0,0,0,0,0,0,0
5.303/1019.92814171123,179715111,168716306,172987382,182432571,172031965,167138976,186411767,166510814,164555728,185327495,163441358,157564810,395898,336228,332450,298288,323551,476969,399524,409573,412664,366892,402450,438811
5.377/1023.63803475936,220476339,206818874,222438879,225979379,216472798,209053410,235214665,206504216,210756923,234212025,206335842,198114435,388802,401457,487978,449974,621363,547453,415540,359329,597383,562341,294230,405918
6.112/1060.48629679144,39431412,35468909,36930073,40293315,37786865,35542648,42057836,37045712,36905316,40930608,36577868,35851317,0,0,0,0,0,0,0,0,0,0,0,0
6.182/1063.99565508021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217025,324156,223904,154264,202815,234239,177207,334588,382255
6.471/1078.48429144385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159676,0,0,0,0,0,0,0,0
7.058/1106.0608,32787380,30687328,32014485,33482425,31880053,30669377,35729094,31299164,30821265,35955272,31091800,29976677,0,0,0,0,0,0,0,0,0,0,0,0
7.379/1118.3872,9860504,8954108,9790568,9674412,9272920,8897949,10335750,8813285,8966926,10329792,8856541,8254133,0,0,0,0,0,0,0,0,0,0,0,0
7.643/1128.5248,4243812,4148548,4478830,4473391,4246112,4131791,4855906,3982392,4305908,5120777,4354916,4189779,0,0,0,0,0,0,0,0,0,0,0,0
7.791/1134.208,1551652,1521367,1465641,2268648,2108999,1906868,2645457,2226827,2386980,3063491,2827585,2420476,0,0,0,0,0,0,0,0,0,0,0,0
8.088/1145.6128,39602992,37216556,40743719,40318336,38960905,38916072,42485917,37981718,38829088,41585294,37675577,37178505,0,0,0,0,0,0,0,0,0,0,0,0
8.483/1160.7808,19722687,17415500,20615479,20476514,19458774,19661809,20452695,18331566,19628513,20753202,17906599,17968163,0,0,0,0,0,0,0,0,0,0,0,0
8.896/1176.64,3584564,3007759,3543947,3854972,3647392,3297312,3746019,3456575,3395052,3594524,3130617,3140424,0,0,0,0,0,0,0,0,0,0,0,0
9.435/1197.3376,623964849,606143540,667375078,645424540,634884125,646216613,668106792,614440205,643104567,655212973,611182584,619833957,4405652,4974595,5611479,4602941,4973104,6225785,4528673,4618008,6106057,4583858,4796567,5909849
9.679/1205.86545278161,6882296,6055681,6162948,8293851,7951924,6409791,6855617,6018915,6933554,8957684,7457934,7664708,0,0,0,0,0,0,0,0,0,0,0,0
10.384/1229.53994253946,250000,367516,517255,764140,578636,502341,693488,700868,736095,1583621,1302487,1134429,50000,50000,30000,50000,30000,30000,50000,70000,80000,100000,60000,60000
10.505/1233.60322376031,1025788,863385,806827,1155764,1124030,826176,813751,856593,994232,1222159,1080956,1024091,0,0,0,0,0,0,0,0,0,0,0,0
10.797/1243.4088280288,1424364,1194850,1371742,1359935,1276783,1222734,1255863,1210673,1466587,1508883,1256006,1320432,0,0,0,0,0,0,0,0,0,0,0,0
10.924/1247.67359426887,0,0,0,0,0,0,0,0,0,0,0,0,508957,245721,378950,574783,454159,418075,429883,427004,392129,309791,375737,354646
10.987/1249.78918697064,1201192,1082765,1303750,1255237,1201486,1303688,1209392,1034521,1147138,1363581,1184143,1187191,0,0,0,0,0,0,0,0,0,0,0,0
11.073/1252.67713891273,940058,798053,1034930,977691,996685,983520,800251,659911,842861,860249,813460,755382,0,0,0,0,0,0,0,0,0,0,0,0
11.503/1267.11689862319,4217344,4157448,4165458,4566295,4322102,4313244,4573419,4263830,4244954,4658946,4450463,4100284,0,0,0,0,0,0,0,0,0,0,0,0
11.912/1280.85146076639,88461437,83407513,94103695,93526731,88857308,91402789,99485712,86408565,92360310,97131415,86447605,87881221,500000,485684,462348,433426,495927,442516,378230,608856,560559,591248,455664,550930
13.327/1327.1729807005,150000,300000,280000,530447,300000,250000,585148,400000,301130,464229,460351,293160,0,0,0,0,0,0,0,0,0,0,0,0
14.185/1354.77126518942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249883,0,0
15.299/1390.60400285919,577775,412500,576865,640273,458180,456156,715274,403187,418018,747268,540207,379284,0,0,0,0,0,0,0,0,0,0,0,0
15.314/1391.08649035025,0,0,0,0,0,0,0,0,0,0,0,0,589328,519657,538621,594689,371032,436651,602813,615741,470596,529310,428699,226695
16.191/1419.68598681524,1214434,1426091,1040552,1386102,894725,1225336,1416033,840576,1025436,1301894,1067314,638793,0,0,0,0,0,0,0,0,0,0,0,0
16.259/1421.91747856018,449323,350000,160000,450000,250000,300000,646301,400000,399534,577968,500000,300000,0,0,0,0,0,0,0,0,0,0,0,0
16.602/1433.17338545009,980513,906035,1037583,1141846,1079833,1042624,1443975,1073507,1181414,1447869,1433844,1348512,0,0,0,0,0,0,0,0,0,0,0,0
16.724/1437.17694416895,954377,714752,792772,752411,824579,736571,992323,747245,833646,949063,902003,753902,0,0,0,0,0,0,0,0,0,0,0,0
16.908/1443.21509830232,1958204,1692511,1844356,1685944,1496004,1571939,1474716,1000000,1147550,1006480,404098,560885,0,0,0,0,0,0,0,0,0,0,0,0
17.155/1451.32066390526,1611043,1084870,2518409,2623890,2768751,3952056,5462288,4351520,4109421,5740711,4540543,4607613,4113585,2582010,7076126,4903194,5074761,7392265,7267492,7500542,7376298,6588837,7600349,6227921
17.292/1455.81646345021,1210385,1066917,1715634,1803998,1661669,2163313,2612319,1855318,1941284,880471,921171,1040109,0,0,0,0,0,0,0,0,0,0,0,0
17.351/1457.75261069949,0,0,0,0,0,0,0,0,0,0,0,0,290000,240000,301332,209131,160000,140000,160000,130000,170000,300000,350000,250000
17.578/1465.00495887054,21256701,20050078,20416276,28794856,28112333,28854866,31579835,28122220,28893882,30729778,30412694,30136381,0,0,0,0,0,0,0,0,0,0,0,0
18.073/1481.44580246193,0,0,0,471264,433041,350000,912087,465267,500000,621635,631999,526494,0,0,0,0,0,0,0,0,0,0,0,0
18.481/1494.83475293157,0,0,0,644410,648282,826297,1133589,998434,541130,700000,550788,659143,0,0,0,0,0,0,0,0,0,0,0,0
18.545/1496.93498045622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131696,206798,0,327671,262398,0,305573,159961,0
18.959/1510.7521008806,400000,394321,686056,669757,550000,274100,513787,355056,462563,424594,831087,104567,0,0,0,0,0,0,0,0,0,0,0,0
19.117/1516.05101522599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225266,0,0,177285,190000,237856
19.858/1540.90225275726,0,0,0,0,0,0,0,0,0,0,0,0,718305,667058,706107,622498,584927,574617,740160,681161,736315,723001,777780,703423
20.097/1548.91769914048,980501,273824,631175,405242,740821,711247,864672,680008,486162,1019936,883334,519210,0,0,0,0,0,0,0,0,0,0,0,0
20.544/1563.9089314974,880000,885000,1140000,1100000,1126557,1104455,1250000,1034558,1200000,1299142,1205362,731392,0,0,0,0,0,0,0,0,0,0,0,0
20.574/1564.91505447437,720000,729000,930000,1035000,1130154,1030985,1540000,1074221,1500000,1361190,1226787,1886846,0,0,0,0,0,0,0,0,0,0,0,0
20.758/1571.08594206648,1244220,953378,1258223,1890404,1824549,1691839,2212852,1480672,1759454,2513702,2178974,2455090,0,0,0,0,0,0,0,0,0,0,0,0
20.954/1577.65927884938,0,0,0,0,0,0,0,0,0,0,0,0,1405669,1312119,1593891,1505715,1519871,1828662,2017463,1442791,1557441,1245752,1353070,1509517
20.982/1578.59832696122,18296362,16354167,16955647,23335719,22185841,21907994,25333418,21279762,23973486,25290295,22990303,23350642,0,0,0,0,0,0,0,0,0,0,0,0
21.413/1593.05296039708,0,0,0,1057184,1028631,723397,1350879,1076750,1408638,1470771,1148281,1816685,0,0,0,0,0,0,0,0,0,0,0,0
21.633/1600.45331372332,2444263,2048318,2412382,2325905,2455650,1433993,3338467,2771728,3926956,3605766,3707174,4401180,0,0,0,0,0,0,0,0,0,0,0,0
21.645/1600.87640653175,0,0,0,0,0,0,0,0,0,0,0,0,627537,560869,665967,872974,727142,777865,729186,607161,751320,632099,634259,580740
22.124/1617.7648611349,1947871,1660727,1763917,2974696,2550647,2832266,3445710,3007247,3236266,4313368,3842714,4328513,0,0,0,0,0,0,0,0,0,0,0,0
22.135/1618.15269620929,0,0,0,0,0,0,0,0,0,0,0,0,376629,328734,665974,894203,775590,674013,1228056,560830,540681,580477,660152,816013
22.263/1622.66568616587,501969,676289,862861,749221,615121,556508,845589,684809,773097,776508,614604,988479,0,0,0,0,0,0,0,0,0,0,0,0
22.437/1628.8005318881,2387246,2102251,2384427,2377225,2076022,2086569,2607318,2286745,2310051,2500548,2423411,2321086,0,0,0,0,0,0,0,0,0,0,0,0
22.813/1642.05743988556,1985930,1622157,1880685,2793948,2441280,2377546,3092483,2502260,2928194,3333551,2851864,3303068,0,0,0,0,0,0,0,0,0,0,0,0
23.324/1660.07414197786,0,0,0,0,0,0,0,0,0,0,0,0,558822,443269,714277,389709,590330,259651,235912,466863,270143,276952,277296,359501
23.476/1665.4333175513,0,0,0,0,0,0,819283,565697,542551,949701,596731,853221,0,0,0,0,0,0,0,0,0,0,0,0
23.492/1665.99744129587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265347,456885,211923,0,0,0,0,0,0
23.646/1671.42713233739,1554205,1426317,1303831,1796263,1323922,1289141,1765162,1621966,1535034,2054296,1418722,2013684,0,0,0,0,0,0,0,0,0,0,0,0
23.746/1674.95290574097,0,0,0,1255089,1153286,1304985,1314335,1201600,1046514,1524171,1098025,1652030,0,0,0,0,0,0,0,0,0,0,0,0
23.877/1679.57166889966,1107281,1015455,978997,1069972,838915,867414,972466,775496,623590,1043549,589229,867270,0,0,0,0,0,0,0,0,0,0,0,0
24.102/1687.50465905771,2940139,2531079,2589545,3170176,2854732,2932029,3543534,2999218,2757972,3644945,3272523,3769231,0,0,0,0,0,0,0,0,0,0,0,0
24.278/1693.71002024801,0,0,0,0,0,0,0,0,0,0,0,0,362317,226119,469470,195609,265072,264640,287508,324244,312619,288249,306041,244209
24.301/1694.52094813084,0,0,0,0,0,0,450000,450000,300000,650000,600000,821387,0,0,0,0,0,0,0,0,0,0,0,0
24.399/1697.97620606634,300000,350000,250000,704883,260496,775592,878958,632894,415227,1002870,885459,960263,0,0,0,0,0,0,0,0,0,0,0,0
24.495/1701.40537391684,3479694,2659661,2894225,4600044,3856339,3816491,4755038,3811532,3793364,4677674,4132821,4233912,0,0,0,0,0,0,0,0,0,0,0,0
24.592/1704.9370130343,0,0,0,927423,1096370,1041791,1000687,1169032,742760,1297163,1461055,1215001,0,0,0,0,0,0,0,0,0,0,0,0
25.163/1725.72635258137,951536,536430,520405,975938,807867,1008495,786785,823972,631484,1210186,1400957,1395138,0,0,0,0,0,0,0,0,0,0,0,0
25.273/1729.73130415787,830000,715000,635000,1100000,980000,1113000,1200000,990000,1180000,1050000,1170000,1939213,0,0,0,0,0,0,0,0,0,0,0,0
25.295/1730.53229447317,1240000,1050000,945000,1600000,1400000,1669500,1850000,1480000,1700000,1500000,1750000,1429169,0,0,0,0,0,0,0,0,0,0,0,0
25.922/1753.36051845919,4270284,3364937,3102334,4743495,4680112,4853861,4824822,3957108,4549598,3605456,3318604,4019941,0,0,0,0,0,0,0,0,0,0,0,0
26.436/1771.85611301245,0,0,0,288502,481319,400000,535410,300000,444689,472953,518328,833786,0,0,0,0,0,0,0,0,0,0,0,0
26.581/1777.35381926746,550615,650000,786860,1989596,1757931,2195395,1782106,1846077,2262328,2061565,2033929,2285935,0,0,0,0,0,0,0,0,0,0,0,0
27.512/1811.78220086937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95200,0,0,0,0,0,0,0
27.667/1817.692366354,1076203,832026,1203669,1959412,1804868,2262710,2123137,1964055,1985132,2352617,2150747,2013324,0,0,0,0,0,0,0,0,0,0,0,0
28.086/1833.66887821246,1469047,1003242,1329883,1294792,1359848,1138044,1462066,1238504,1178937,1380303,1204335,1099615,0,0,0,0,0,0,0,0,0,0,0,0
28.435/1846.97628307786,2255927,1776884,1807824,1982645,1730232,1883394,2538636,2197900,2086260,2703424,2261408,2485661,0,0,0,0,0,0,0,0,0,0,0,0
30.206/1915.20019180053,0,0,0,0,0,0,642319,714578,641539,760023,437381,666250,0,0,0,0,0,0,0,0,0,0,0,0
32.534/2008.66234531526,1369901,1370576,1433480,1936795,2364844,2410046,2485173,2617595,2948975,3163451,3499883,3046784,0,0,0,267596,0,176352,233244,290758,176758,207849,603141,364792
34.508/2091.7501473188,0,0,0,0,0,0,0,0,0,0,0,0,74368,64377,650000,568769,1073431,1221559,870570,883828,794791,1211901,1066342,923768
